sessao_id,inicio_s,duracao_s,tema,severidade
S19,2204,39,Confunde projeto com estudo,2
S06,86,22,Não entende quais formatos são aceitos,3
S24,3640,28,Não sabe onde a análise começa,4
S15,1038,27,Não entende quais formatos são aceitos,3
S22,1850,36,Não encontra o relatório depois de pronto,4
S03,3083,28,Não sabe onde a análise começa,4
S12,2997,36,Não sabe onde a análise começa,4
S10,564,65,Upload falha sem dizer o motivo,4
S17,375,23,Não entende quais formatos são aceitos,3
S07,493,41,Upload falha sem dizer o motivo,4
S06,489,42,Upload falha sem dizer o motivo,4
S07,1378,38,Não sabe onde a análise começa,4
S07,1864,24,Não sabe o que conta como acionável,3
S20,1688,34,Não encontra o relatório depois de pronto,4
S14,711,13,Acha que a integração já vem conectada,2
S23,2504,10,Não sabe onde a análise começa,4
S22,1397,112,Espera que a exportação seja automática,2
S22,1690,28,Não encontra o relatório depois de pronto,4
S21,1056,114,Perde o contexto ao voltar uma tela,3
S15,2141,21,Não sabe onde a análise começa,4
S24,1416,36,Não sabe onde a análise começa,4
S12,2457,24,Não encontra o relatório depois de pronto,4
S05,1170,21,Não reconhece o termo transcrição,1
S21,840,37,Não sabe o que conta como acionável,3
S07,806,29,Não sabe onde a análise começa,4
S19,2455,50,Não entende quais formatos são aceitos,3
S19,328,22,Não sabe onde a análise começa,4
S02,1322,16,Não entende quais formatos são aceitos,3
S19,3833,15,Não entende quais formatos são aceitos,3
S23,0,55,Não sabe o que conta como acionável,3
S13,2305,19,Não sabe onde a análise começa,4
S03,547,61,Não entende quais formatos são aceitos,3
S03,63,21,Espera que a exportação seja automática,2
S11,2962,15,Não sabe como compartilhar o relatório,3
S18,1686,12,Não entende a barra de progresso,2
S12,2215,44,Não sabe onde a análise começa,4
S07,2329,50,Upload falha sem dizer o motivo,4
S16,1475,10,Upload falha sem dizer o motivo,4
S03,1081,56,Espera que a exportação seja automática,2
S03,1994,41,Não sabe como compartilhar o relatório,3
S08,1857,48,Upload falha sem dizer o motivo,4
S13,2811,43,Não encontra o relatório depois de pronto,4
S12,0,33,Não entende quais formatos são aceitos,3
S06,719,48,Upload falha sem dizer o motivo,4
S21,877,30,Não sabe o que conta como acionável,3
S02,1338,31,Perde o contexto ao voltar uma tela,3
S11,1601,52,Não encontra o relatório depois de pronto,4
S02,1129,21,Não entende quais formatos são aceitos,3
S12,2011,62,Não sabe que dá para editar o achado,1
S11,3369,39,Não sabe como compartilhar o relatório,3
S14,2358,23,Não sabe onde a análise começa,4
S02,2019,37,Perde o contexto ao voltar uma tela,3
S21,2473,52,Perde o contexto ao voltar uma tela,3
S04,3222,27,Não encontra o relatório depois de pronto,4
S24,1481,28,Espera que a exportação seja automática,2
S24,1666,30,Não sabe que dá para editar o achado,1
S07,2837,11,Upload falha sem dizer o motivo,4
S09,377,24,Não entende a barra de progresso,2
S02,2522,29,Confunde projeto com estudo,2
S10,1283,33,Upload falha sem dizer o motivo,4
S10,669,119,Não encontra o relatório depois de pronto,4
S19,2825,14,Não sabe onde a análise começa,4
S13,1699,31,Confunde projeto com estudo,2
S09,3531,23,Não sabe o que conta como acionável,3
S20,2198,41,Não encontra o relatório depois de pronto,4
S21,784,22,Não entende quais formatos são aceitos,3
S05,35,11,Acha que a integração já vem conectada,2
S11,1191,15,Não sabe como compartilhar o relatório,3
S02,1868,28,Não encontra o relatório depois de pronto,4
S21,2686,13,Perde o contexto ao voltar uma tela,3
S02,877,94,Não encontra o relatório depois de pronto,4
S03,940,119,Upload falha sem dizer o motivo,4
S20,2641,19,Não entende quais formatos são aceitos,3
S08,498,9,Espera que a exportação seja automática,2
S12,2947,50,Não sabe onde a análise começa,4
S09,1548,24,Não sabe onde a análise começa,4
S15,2162,42,Upload falha sem dizer o motivo,4
S24,1837,94,Não sabe que dá para editar o achado,1
S01,3350,9,Espera que a exportação seja automática,2
S05,103,29,Não sabe onde a análise começa,4
S09,1929,27,Não sabe onde a análise começa,4
S10,1848,19,Upload falha sem dizer o motivo,4
S06,1136,47,Upload falha sem dizer o motivo,4
S19,2674,13,Upload falha sem dizer o motivo,4
S11,1127,19,Não sabe onde a análise começa,4
