sessoes_analisadas,temas_media,temas_p10,temas_p90,cobertura_pct
1,4.75,4.0,6.0,33.9
2,7.18,6.0,9.0,51.3
3,8.74,7.0,10.0,62.4
4,9.85,8.0,11.0,70.4
5,10.61,9.0,12.0,75.8
6,11.21,10.0,13.0,80.1
7,11.81,10.0,13.0,84.4
8,12.24,11.0,13.0,87.4
9,12.55,11.0,14.0,89.6
10,12.79,12.0,14.0,91.4
11,13.03,12.0,14.0,93.1
12,13.26,12.0,14.0,94.7
13,13.41,13.0,14.0,95.8
14,13.54,13.0,14.0,96.7
15,13.65,13.0,14.0,97.5
16,13.76,13.0,14.0,98.3
17,13.83,13.0,14.0,98.8
18,13.89,13.0,14.0,99.2
19,13.91,14.0,14.0,99.4
20,13.96,14.0,14.0,99.7
21,13.99,14.0,14.0,99.9
22,14.0,14.0,14.0,100.0
23,14.0,14.0,14.0,100.0
24,14.0,14.0,14.0,100.0
