sessao_id,perfil,duracao_minutos,duracao_horas
S01,experiente,58,0.97
S02,experiente,45,0.75
S03,experiente,57,0.95
S04,novato,59,0.98
S05,novato,57,0.95
S06,novato,43,0.72
S07,experiente,49,0.82
S08,experiente,56,0.93
S09,novato,64,1.07
S10,novato,56,0.93
S11,novato,57,0.95
S12,novato,59,0.98
S13,experiente,52,0.87
S14,novato,40,0.67
S15,experiente,62,1.03
S16,experiente,38,0.63
S17,novato,54,0.9
S18,novato,46,0.77
S19,novato,67,1.12
S20,novato,51,0.85
S21,novato,51,0.85
S22,experiente,57,0.95
S23,novato,53,0.88
S24,novato,64,1.07
