sessao_id,tarefa,concluiu,tempo_s,relato_sucesso,relato_nota,relato_falso_positivo,resultado,relato
S01,Subir um vídeo de sessão,True,141,True,5,False,Concluiu,Relatou sucesso
S01,Encontrar os acionáveis do estudo,True,109,True,3,False,Concluiu,Relatou sucesso
S01,Filtrar achados por severidade,True,75,True,4,False,Concluiu,Relatou sucesso
S01,Exportar para o Power BI,True,109,True,5,False,Concluiu,Relatou sucesso
S01,Compartilhar o relatório com o time,True,112,True,4,False,Concluiu,Relatou sucesso
S02,Subir um vídeo de sessão,False,250,False,2,False,Não concluiu,Relatou fracasso
S02,Encontrar os acionáveis do estudo,False,173,True,4,True,Não concluiu,Relatou sucesso
S02,Filtrar achados por severidade,False,222,True,4,True,Não concluiu,Relatou sucesso
S02,Exportar para o Power BI,True,103,True,5,False,Concluiu,Relatou sucesso
S02,Compartilhar o relatório com o time,True,109,True,3,False,Concluiu,Relatou sucesso
S03,Subir um vídeo de sessão,False,208,False,3,False,Não concluiu,Relatou fracasso
S03,Encontrar os acionáveis do estudo,True,118,True,5,False,Concluiu,Relatou sucesso
S03,Filtrar achados por severidade,False,245,True,4,True,Não concluiu,Relatou sucesso
S03,Exportar para o Power BI,False,156,True,4,True,Não concluiu,Relatou sucesso
S03,Compartilhar o relatório com o time,True,113,True,5,False,Concluiu,Relatou sucesso
S04,Subir um vídeo de sessão,True,96,True,5,False,Concluiu,Relatou sucesso
S04,Encontrar os acionáveis do estudo,False,192,True,4,True,Não concluiu,Relatou sucesso
S04,Filtrar achados por severidade,False,237,True,4,True,Não concluiu,Relatou sucesso
S04,Exportar para o Power BI,False,220,True,3,True,Não concluiu,Relatou sucesso
S04,Compartilhar o relatório com o time,False,247,True,3,True,Não concluiu,Relatou sucesso
S05,Subir um vídeo de sessão,False,182,True,4,True,Não concluiu,Relatou sucesso
S05,Encontrar os acionáveis do estudo,False,156,True,4,True,Não concluiu,Relatou sucesso
S05,Filtrar achados por severidade,False,241,True,4,True,Não concluiu,Relatou sucesso
S05,Exportar para o Power BI,True,106,True,3,False,Concluiu,Relatou sucesso
S05,Compartilhar o relatório com o time,True,161,True,3,False,Concluiu,Relatou sucesso
S06,Subir um vídeo de sessão,False,189,True,3,True,Não concluiu,Relatou sucesso
S06,Encontrar os acionáveis do estudo,False,214,True,4,True,Não concluiu,Relatou sucesso
S06,Filtrar achados por severidade,False,247,False,3,False,Não concluiu,Relatou fracasso
S06,Exportar para o Power BI,True,116,True,4,False,Concluiu,Relatou sucesso
S06,Compartilhar o relatório com o time,False,147,True,5,True,Não concluiu,Relatou sucesso
S07,Subir um vídeo de sessão,False,177,True,4,True,Não concluiu,Relatou sucesso
S07,Encontrar os acionáveis do estudo,False,168,True,4,True,Não concluiu,Relatou sucesso
S07,Filtrar achados por severidade,False,208,True,4,True,Não concluiu,Relatou sucesso
S07,Exportar para o Power BI,True,111,True,4,False,Concluiu,Relatou sucesso
S07,Compartilhar o relatório com o time,True,155,True,4,False,Concluiu,Relatou sucesso
S08,Subir um vídeo de sessão,True,109,True,2,False,Concluiu,Relatou sucesso
