sessao_id,inicio_s,duracao_s,tipo
S01,0,29,pensando_alto
S01,29,16,fora_do_tema
S01,45,79,tentativa_tarefa
S01,124,34,tentativa_tarefa
S01,158,47,tentativa_tarefa
S01,205,35,silencio
S01,240,21,pensando_alto
S01,261,11,silencio
S01,272,58,pensando_alto
S01,330,47,silencio
S01,377,27,silencio
S01,404,33,silencio
S01,437,21,fala_moderador
S01,458,24,fala_moderador
S01,482,32,pensando_alto
S01,514,13,fala_moderador
S01,527,81,fora_do_tema
S01,608,28,silencio
S01,636,31,fala_moderador
S01,667,118,pensando_alto
S01,785,157,pensando_alto
S01,942,33,fala_moderador
S01,975,18,pensando_alto
S01,993,13,tentativa_tarefa
S01,1006,13,silencio
S01,1019,67,tentativa_tarefa
S01,1086,78,fala_moderador
S01,1164,25,fala_moderador
S01,1189,17,fala_moderador
S01,1206,49,tentativa_tarefa
S01,1255,18,silencio
S01,1273,36,silencio
S01,1309,15,tentativa_tarefa
S01,1324,51,tentativa_tarefa
S01,1375,16,silencio
S01,1391,50,silencio
S01,1441,33,pensando_alto
S01,1474,32,pensando_alto
S01,1506,47,fala_moderador
S01,1553,20,tentativa_tarefa
S01,1573,38,fala_moderador
S01,1611,26,fora_do_tema
S01,1637,71,fala_moderador
S01,1708,45,tentativa_tarefa
S01,1753,36,fala_moderador
S01,1789,8,tentativa_tarefa
S01,1797,82,pensando_alto
S01,1879,27,pensando_alto
S01,1906,14,pensando_alto
S01,1920,19,fala_moderador
S01,1939,43,tentativa_tarefa
S01,1982,32,fora_do_tema
S01,2014,55,tentativa_tarefa
S01,2069,65,fora_do_tema
S01,2134,16,tentativa_tarefa
S01,2150,16,tentativa_tarefa
S01,2166,17,pensando_alto
S01,2183,27,tentativa_tarefa
S01,2210,24,pensando_alto
S01,2234,26,fala_moderador
S01,2260,14,tentativa_tarefa
S01,2274,17,fala_moderador
S01,2291,15,silencio
S01,2306,37,tentativa_tarefa
S01,2343,34,fala_moderador
S01,2377,52,silencio
S01,2429,38,fala_moderador
S01,2467,39,tentativa_tarefa
S01,2506,35,tentativa_tarefa
S01,2541,17,silencio
S01,2558,37,pensando_alto
S01,2595,8,pensando_alto
S01,2603,17,pensando_alto
S01,2620,27,fora_do_tema
S01,2647,28,pensando_alto
S01,2675,35,silencio
S01,2710,15,fala_moderador
S01,2725,49,fora_do_tema
S01,2774,23,silencio
S01,2797,87,tentativa_tarefa
S01,2884,99,fora_do_tema
S01,2983,33,tentativa_tarefa
S01,3016,31,fora_do_tema
S01,3047,81,fala_moderador
S01,3128,15,tentativa_tarefa
S01,3143,14,pensando_alto
S01,3157,22,pensando_alto
S01,3179,17,fala_moderador
S01,3196,107,tentativa_tarefa
